software,Link,Description,Year,Last Modified,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/533361/what-is-wrong-with-my-httpd-conf-file,What is wrong with my httpd.conf file?,2013,2013,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/677820/nginx-cache-error-conflicts-with-already-declared-size-0-in-etc-nginx-nginx-co,NGINX cache error: conflicts with already declared size 0 in /etc/nginx/nginx.conf,2015,2015,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/407875/how-to-diagnose-dns-virtual-domain-404s,how to diagnose dns virtual domain 404s,2012,2012,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/868118/httpd-overwrite-conf-file-directive-with-conf-d-directive,httpd overwrite conf file directive with conf.d directive,2017,2017,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/915087/php-fpm-7-1-not-accepting-config-parameters-in-docker,PHP-FPM 7.1 not accepting config parameters in Docker,2018,2018,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/219436/500-error-after-creating-htpasswd-and-edit-htaccess,500 error after creating htpasswd and edit htaccess,2011,2018,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/652455/apache-404-returning-500-errors-request-exceeded-redirects,"trying to setup a site with static HTML with Apache, but get 500 rather than 404",2014,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/597283/apache-not-responding-to-configuration-changes,Apache not responding to configuration changes,2014,2014,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/421301/nginx-worker-proccesses-directive-doesnt-work,"nginx: [emerg] ""worker_processes"" directive is not allowed here in /etc/nginx/sites-enabled/default:1 nginx",2012,2021,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/18598432,Custom App.config section causing configuration load error,2013,2013,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/782252,Avoid web.config inheritance in child web application using inheritInChildApplications,2009,2016,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/706694/use-nginx-as-reverse-proxy-for-multiple-servers,Use Nginx as Reverse Proxy for multiple servers,2015,2017,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/15208135/nginx-configuration-error,Nginx + configuration error,2013,2013,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/742581/switching-from-mpm-worker-to-event-with-php-fpm,Switching from MPM Worker to Event with PHP-FPM,2015,2016,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/44298071,How to fix: mysql: [ERROR] Found option without preceding group in config file /etc/mysql/my.cnf?,2017,2022,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/512503/percona-and-mysql-audit,percona and mysql audit,2013,2013,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/73108361/,"the earlier line win, move a  config",2022,2022,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/23686505/php-post-max-size-vs-upload-max-filesize-what-is-the-difference,PHP post_max_size vs upload_max_filesize,2014,2023,,,,,,,,,,,,,,
MySQL,https://www.percona.com/blog/2012/06/06/read_buffer_size-can-break-your-replication/,read_buffer_size can break your replication,2012,2012,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/367970/virtual-domain-redirection-working-only-partially-with-apache-2-2,virtual domain redirection working only partially with apache 2 2,2012,2012,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/1060449/file-size-exceeded-the-maximum-size-permitted-phpmyadmin,file size exceeded the maximum size permitted phpmyadmin,2021,2021,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/74291717,missing the initial / character   ,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/72840115,reconfigure SSL,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/72430595,wrong configuration: advanced nginx http to https redirect,2022,2022,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/71870967," without any error message, wrong name",2022,2022,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/73458710,wrong syntax,2022,2022,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/73105988,unclosed parentheses,2022,2022,,,,,,,,,,,,,,
Apache httpd,https://stackoverflow.com/questions/73569742/,missing /,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/72675848,wrong position,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/72502807,configuration file name override,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/72093387,missing  /,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/71462799,duplicate =,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/71326580,typo  && func,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/71239175/,typo ,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/70095266,configuration it has a duplicate rule,2022,2022,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/72808886,typo for wrong name,2022,2022,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/72193214/,"wrap your ENV[""POSTGRES_PASSWORD""] with <%= ... %>",2022,2022,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/71313564/,In spark-submit the jars needed to be included before the script,2022,2022,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/1111604/,$backend2 wrong position,2022,2022,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/1103573,"nginx config is read top bottom with first match, add blog part upper in the site config",2022,2022,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/1102199/,missing /,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/71489437,file upload limit,2022,2023,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/74715153/,wrong URL (phpinfo),2022,2022,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/1130664, cannot use both ipv6only=off and ipv6only=on,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/75278778,There should not have a space,2023,2023,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/76757841,Quotes are not special characters,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/76945599,default configuration should be removed,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/76732588,default configuration should be removed,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/76747168,Nginx rate limiting reuse,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/76050367,proxy_pass set with https and proxy_ssl_server_name on;,2023,2023,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/76340552,max_function_args is read-only,2023,2023,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/76489505,default configuration should be removed,2023,2023,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/75386663,max connections,2023,2023,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/667638/apache-fails-after-configuration-of-2-virtual-hosts,Apache fails after configuration of 2 virtual hosts,2015,2015,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/481346/why-does-apache-fail-to-start-and-only-say-configuration-failed-in-error-log,No space left on device: Couldn't create accept lock,2013,2020,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/13719359/ruby-on-rails-error-when-running-rake-dbmigrate/13719484#13719484,Ruby On Rails Error when running rake db:migrate,2012,2012,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/128809/apache-error-with-suexec-only,Apache error with suEXEC only,2010,2010,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/234787/why-apache-throws-403-on-index-file-after-install,Why apache throws 403 on index file after install?,2011,2011,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/294725/php-serving-blank-pages-to-1-of-users,PHP serving blank pages to <1% of users,2011,2011,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/296997/completely-random-403-errors-despite-explicit-allow-from-all,Completely random 403 errors despite explicit Allow from all,2011,2011,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/325889/access-denied-for-php-files-only,Access Denied for PHP Files Only,2011,2017,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/579661/apache2-randomly-stop-working-error-403,"Apache2 randomly stop working, error 403",2014,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/599723/apache-2-4-with-php-5-5-ldap-in-php-not-working,"Apache 2.4 with PHP 5.5, LDAP in PHP not working",2014,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/936134/apache-local-virtualhosts-not-working-502-error,Apache Local virtualhosts not working (502 error),2018,2018,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/972149/django-on-apache-gives-500-error-error-log-has-client-denied-by-server-configu,"Django on Apache gives 500 error, error log has “client denied by server configuration”",2019,2022,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/438726/apache-permission-denied-on-fedora-17-ec2-instance,apache permission denied on fedora 17 ec2 instance,2012,2012,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/89399/https-timeout-while-http-works,https timeout while http works,2009,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/128809/apache-error-with-suexec-only,Apache error with suEXEC only,2010,2010,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/229875/install-mod-perl2-on-apache-2-2-14-ubuntu10-04,"module perl_module is already loaded, skipping",2011,2013,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/491399/can-i-suppress-apache2-error-messages-about-clients-denied-by-server-configurati,apache error log is filling up with [error] [client 108.62.178.124] client denied by server configuration,2013,2013,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/587418/apache-2-4-403-http-status-code,Apache 2.4 - 403 HTTP status code,2014,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/814829/apache-ssl-invalid-certificate-chain-with-https-www,Apache SSL invalid certificate chain with “https://www”,2016,2016,,,,,,,,,,,,,,
MySQL,http://stackoverflow.com/questions/7928675/mysql-i-cannot-login-as-root-after-upgrading-to-5-5,mysql i cannot login as root after upgrading to 5 5,2011,2020,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/256254/mysql-server-doesnt-startup,mysql server doesnt startup,2011,2014,,,,,,,,,,,,,,
MySQL,http://stackoverflow.com/questions/19117487/i-cant-start-mysql-on-linux-error-mysqld-safe,i cant start mysql on linux error mysqld safe,2013,2018,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/258709/attempted-to-change-database-drive-resulted-in-cant-connect-to-local-mysql-ser,attempted to change database drive resulted in cant connect to local mysql ser,2011,2013,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/170192/nginx-php-fpm-permission-denied-error-13-in-nginx-log-configuration-mista,"nginx + PHP-FPM = ""permission denied"" error 13 in nginx log; configuration mistake?",2010,2016,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/442215/error-404-when-using-limit-rate-in-nginx,Error 404 when using $limit_rate in nginx,2012,2012,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/525283/centos-vsftpd-nginx-php-fpm-permission-denied-500-internal-server-error,Centos / vsFTPD / Nginx / php-fpm - Permission denied (500 Internal Server Error),2013,2014,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/601063/nginx-php-fpm-on-centos-6-5-gives-me-502-bad-gateway-fpm-error-unable-to-rea,Nginx + PHP-FPM on Centos 6.5 gives me 502 Bad Gateway (fpm error: unable to read what child say: Bad file descriptor),2014,2014,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/616788/nginx-403-forbidden-on-some-files-extensions,Nginx: 403 Forbidden on some files extensions,2014,2014,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/666553/os-x-10-10-localhost-environment-using-nginx-mysql-and-php-via-homebrew,"OS X 10.10 Localhost Environment using nginx, mysql, and php via Homebrew",2015,2015,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/688461/no-write-permission-for-wordpress-under-nginx-in-centos-7,No write permission for Wordpress under Nginx in CentOS 7,2015,2015,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/710404/nginx-configuration504-gateway-time-out-error,"*798 upstream timed out (110: Connection timed out) while connecting to upstream, client: 10.100.88.210",2015,2021,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/735348/php-fpm-corrupts-my-socket-permission-on-startup,Php-fpm corrupts my socket permission on startup,2015,2015,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/768818/centos-7-nginx-13-permission-denied-while-loading-font-file-from-css,CentOs 7 Nginx (13: Permission denied) while loading font file from css,2016,2016,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/779450/phpmyadmin-on-centos-7-with-nginx-returns-blank-page,phpMyAdmin on CentOS 7 with NGINX returns blank page,2016,2016,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/814433/symfony-centos-nginx-php-fpm-cache-error,"Symfony, CentOS, NGINX, php-fpm cache error",2016,2016,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/963306/how-do-i-get-nginx-to-work-with-subdirectories-nginx-lets-encrypt-basic-aut,"How do I get Nginx to work with subdirectories? [Nginx, Let's Encrypt, basic auth]",2019,2019,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/984534/php-fpm-couldnt-find-script-until-i-moved-in-a-specific-directory,php-fpm couldn't find script until I moved in a specific directory,2019,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/20182329,Nginx is throwing an 403 Forbidden on Static Files,2013,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/27250982/setup-codiad-with-nginx-installation-error,Setup Codiad with Nginx Installation Error,2014,2015,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/34258894/nginx-still-try-to-open-default-error-log-file-even-though-i-set-nginx-config-fi,Nginx still try to open default error log file even though I set nginx config file while reloading,2015,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/64996430/my-https-ssl-tls-nginx-configuration-give-me-timeout,My HTTPS (SSL/TLS) nginx configuration give me timeout,2020,2020,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/6795350/nginx-403-forbidden-for-all-files,Nginx 403 forbidden for all files,2011,2024,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/63178715/sec-error-adding-cert-error-adding-certificate-to-database,SEC_ERROR_ADDING_CERT: Error adding certificate to database,2020,2021,,,,,,,,,,,,,,
Others,https://serverfault.com/questions/315110/installing-software-on-a-shared-linux-godaddy-server,Installing software on a shared linux godaddy server,2011,2011,,,,,,,,,,,,,,
Others,https://serverfault.com/questions/665228/zabbix-cannot-connect-to-a-postgresql-database,Zabbix cannot connect to a PostgreSQL database,2015,2018,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/1044865/php-fpm-detected-unsafe-path-transition-error-message-how,php-fpm Detected unsafe path transition error message. How?,2020,2020,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/276096/drupal-php-installation-does-not-support-mysql,Drupal PHP installation does not support MySQL,2011,2011,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/287788/enabling-apc-causes-internal-server-error,Enabling APC causes internal server error,2011,2015,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/30967/lighttpd-cannot-create-php-fastcgi-socket,Lighttpd cannot create php-fastcgi.socket,2009,2021,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/415430/directadmin-subdomains-documentroot-in-other-users-directory-tree-vs-running,DirectAdmin - subdomain's DocumentRoot in other user's directory tree vs running PHP [closed],2012,2015,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/61461/iis6-php-upload,IIS6 + PHP upload,2009,2009,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/806235/permission-denied-creating-folder-after-setting-parent-folder-as-www-data-user,Permission denied creating folder after setting parent folder as www-data user,2016,2016,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/961736/php-move-uploaded-file-fail,PHP move_uploaded_file fail failed to open stream,2019,2019,,,,,,,,,,,,,,
PostgreSQL,https://serverfault.com/questions/979282/errors-when-attempting-to-connect-to-postgresql-9-6-using-ssl-wildcard-server-ce/979565#979565,Errors when attempting to connect to PostgreSQL 9.6 using SSL wildcard server certificate and no client certificates,2019,2019,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/567960/tortoisesvn-repository-browser-kills-the-apache-process,TortoiseSVN repository browser kills the apache process,2014,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/563123/error-502-random-ssl-library-error-336151568-error14094410,Error 502 - Random SSL Library Error: 336151568 error:14094410,2013,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/403369/getting-internal-server-error-after-updating-server-config-via-whm,Getting internal server error after updating server config via WHM,2012,2013,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/1039397/apache-httpd-is-restarting-once-a-day-with-error-ah00428-parent-child-process,apache httpd is restarting once a day with error AH00428: Parent: child process xxxxx exited with status 3221225477 — Restarting,2020,2020,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/704569/memory-leak-on-apache,Memory leak on Apache,2015,2017,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/211528/using-nginx-wordpress-with-all-wordpress-files-in-a-subdirectory,Using nginx + wordpress with all wordpress files in a subdirectory,2010,2021,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/418547/apache-mod-fastcgi,Apache mod_fastcgi,2012,2012,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/176771/apache2-virtual-host-in-a-vm-trouble-accessing-from-host-machine,"Apache2 virtual host in a VM, trouble accessing from host machine",2010,2010,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/393159/wildcard-dns-non-existent-subdomains-point-to-main-website,"Wildcard dns, non-existent subdomains point to main website",2012,2012,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/654805/apache-limit-directive-does-not-allow-to-see-localhost-project-over-lan,Apache LIMIT directive does not allow to see localhost project over LAN,2014,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/723200/increasing-fcgidmaxprocesses-does-not-help-to-solve-mod-fcgid-cant-apply-proc,Increasing FcgidMaxProcesses does not help to solve “mod_fcgid: can't apply process slot” error,2015,2016,,,,,,,,,,,,,,
Apache httpd,https://stackoverflow.com/questions/1055045,Apache on Windows and Fiddler,2009,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/594020/using-proxypassmatch-for-fastcgi-results-in-connection-refused-on-port-9000,"Using ProxyPassMatch for FastCGI, results in connection refused on port 9000",2014,2017,,,,,,,,,,,,,,
